n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.30638, 1.58221, 1.29432, 1.51113
15, 1.5841, 1.84268, 1.61468, 1.97045
20, 1.4702, 1.75823, 1.55612, 1.9193
25, 1.52765, 1.74902, 1.63761, 1.89576
30, 1.44132, 1.51606, 1.63359, 1.64754
35, 1.55393, 1.61532, 1.77095, 1.78461
40, 1.39608, 1.49671, 1.63425, 1.63749
45, 1.61655, 1.49316, 1.85894, 1.56604
50, 1.7117, 1.40105, 1.97177, 1.48401
55, 1.83253, 1.50403, 2.04823, 1.60873
60, 1.92545, 1.47024, 2.18018, 1.55996
65, 2.08121, 1.45801, 2.10491, 1.64252
70, 2.18327, 1.45309, 2.1756, 1.57025
75, 2.14834, 1.52814, 2.23518, 1.81413
80, 2.14959, 1.47831, 2.22862, 1.62809
85, 2.07216, 1.54398, 2.16651, 1.69367
90, 2.10724, 1.50209, 2.18227, 1.70979
95, 2.10135, 1.49918, 2.22641, 1.70012
100, 2.10552, 1.53769, 2.24096, 1.75792
