n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.37093, 1.64415, 1.36087, 1.5986
15, 1.66186, 1.94812, 1.66011, 2.1853
20, 1.52166, 1.78333, 1.63053, 1.96861
25, 1.62543, 1.9355, 1.84465, 2.07955
30, 1.52601, 1.63485, 1.74642, 1.89371
35, 1.66847, 1.77502, 1.92403, 1.97037
40, 1.61296, 1.6566, 1.88203, 1.88236
45, 1.74524, 1.67825, 1.97756, 1.90217
50, 1.90993, 1.6716, 2.25792, 1.91902
55, 2.08965, 1.78381, 2.30542, 2.12278
60, 2.11227, 1.79745, 2.37923, 2.01491
65, 2.30877, 1.74343, 2.49003, 2.18073
70, 2.44096, 1.87422, 2.61215, 2.28403
75, 2.47236, 1.90032, 2.61632, 2.1724
80, 2.43669, 1.93881, 2.75189, 2.48152
85, 2.43847, 1.96613, 2.67456, 2.39674
90, 2.49013, 2.02111, 2.69239, 2.66351
95, 2.54761, 2.03871, 2.73598, 2.64445
100, 2.48566, 2.1152, 2.7161, 2.59964
